score,timestamp,elapsed,cps,accuracy,difficulty,correct,mistakes,typed_chars,target_chars
358.22,2603021522,49.86,2.37,100.00,1.514,118,0,118,118
367.25,2603021524,35.57,2.75,98.99,1.360,98,1,98,99
188.69,2603021539,12.11,4.87,56.19,1.226,59,46,59,105
573.37,2603021540,22.17,5.05,99.10,1.156,110,1,112,111
499.01,2603021540,29.73,4.17,100.00,1.196,124,0,124,124
540.63,2603021549,25.58,4.14,99.06,1.330,105,1,106,106
381.664149,2603021612,44.0539,2.496942,99.090909,1.556701,109,1,110,110
658.603480,2603021618,17.1871,5.934669,100.000000,1.109756,102,0,102,102
376.932651,2603021620,36.9197,2.762755,97.058824,1.448276,99,3,102,102
371.561321,2603021623,40.4281,2.720882,100.000000,1.365591,110,0,110,110
261.082984,2603021624,65.3104,2.005805,99.236641,1.321739,130,1,131,131
551.060816,2603021625,22.7469,4.484122,100.000000,1.228916,102,0,102,102
547.338053,2603021626,28.4204,4.926042,100.000000,1.111111,140,0,140,140
307.940909,2603021806,60.4242,1.803914,100.000000,1.707071,109,0,109,109
313.166771,2603031012,55.6174,1.959818,100.000000,1.597938,109,0,109,109
419.255351,2603031018,31.1832,3.687888,98.275862,1.177083,114,2,115,116
429.137666,2603031022,29.6603,3.877238,99.130435,1.126316,114,1,115,115
304.896079,2603031054,43.0910,2.274257,96.039604,1.453488,97,4,98,101
290.960314,2603031109,45.9435,2.416010,100.000000,1.204301,111,0,111,111
515.946011,2603031109,24.2879,4.652517,99.107143,1.129032,111,1,113,112
557.617472,2603031110,27.7011,4.692960,97.674419,1.245455,126,3,130,129
327.529260,2603031115,31.8002,3.018849,89.719626,1.347826,96,11,96,107
385.556934,2603031119,45.5416,2.678870,100.000000,1.439252,122,0,122,122
317.381148,2603031121,60.9905,2.361022,97.260274,1.421053,142,4,144,146
359.180053,2603031125,40.0466,2.821713,95.495495,1.395833,106,5,113,111
484.992663,2603031127,24.1842,4.383024,99.047619,1.127907,104,1,106,105
